section,sub_section,is_prop
Input/output,pandas.read_pickle,False
Input/output,pandas.DataFrame.to_pickle,False
Input/output,pandas.read_table,False
Input/output,pandas.read_csv,False
Input/output,pandas.DataFrame.to_csv,False
Input/output,pandas.read_fwf,False
Input/output,pandas.read_clipboard,False
Input/output,pandas.DataFrame.to_clipboard,False
Input/output,pandas.read_excel,False
Input/output,pandas.DataFrame.to_excel,False
Input/output,pandas.ExcelFile.parse,False
Input/output,pandas.io.formats.style.Styler.to_excel,False
Input/output,pandas.ExcelWriter,False
Input/output,pandas.read_json,False
Input/output,pandas.json_normalize,False
Input/output,pandas.DataFrame.to_json,False
Input/output,pandas.io.json.build_table_schema,False
Input/output,pandas.read_html,False
Input/output,pandas.DataFrame.to_html,False
Input/output,pandas.io.formats.style.Styler.to_html,False
Input/output,pandas.read_xml,False
Input/output,pandas.DataFrame.to_xml,False
Input/output,pandas.DataFrame.to_latex,False
Input/output,pandas.io.formats.style.Styler.to_latex,False
Input/output,pandas.read_hdf,False
Input/output,pandas.HDFStore.put,False
Input/output,pandas.HDFStore.append,False
Input/output,pandas.HDFStore.get,False
Input/output,pandas.HDFStore.select,False
Input/output,pandas.HDFStore.info,False
Input/output,pandas.HDFStore.keys,False
Input/output,pandas.HDFStore.groups,False
Input/output,pandas.HDFStore.walk,False
Input/output,pandas.read_feather,False
Input/output,pandas.DataFrame.to_feather,False
Input/output,pandas.read_parquet,False
Input/output,pandas.DataFrame.to_parquet,False
Input/output,pandas.read_orc,False
Input/output,pandas.read_sas,False
Input/output,pandas.read_spss,False
Input/output,pandas.read_sql_table,False
Input/output,pandas.read_sql_query,False
Input/output,pandas.read_sql,False
Input/output,pandas.DataFrame.to_sql,False
Input/output,pandas.read_gbq,False
Input/output,pandas.read_stata,False
Input/output,pandas.DataFrame.to_stata,False
Input/output,pandas.io.stata.StataReader.data_label,False
Input/output,pandas.io.stata.StataReader.value_labels,False
Input/output,pandas.io.stata.StataReader.variable_labels,False
Input/output,pandas.io.stata.StataWriter.write_file,False
General functions,pandas.melt,False
General functions,pandas.pivot,False
General functions,pandas.pivot_table,False
General functions,pandas.crosstab,False
General functions,pandas.cut,False
General functions,pandas.qcut,False
General functions,pandas.merge,False
General functions,pandas.merge_ordered,False
General functions,pandas.merge_asof,False
General functions,pandas.concat,False
General functions,pandas.get_dummies,False
General functions,pandas.factorize,False
General functions,pandas.unique,False
General functions,pandas.wide_to_long,False
General functions,pandas.isna,False
General functions,pandas.isnull,False
General functions,pandas.notna,False
General functions,pandas.notnull,False
General functions,pandas.to_numeric,False
General functions,pandas.to_datetime,False
General functions,pandas.to_timedelta,False
General functions,pandas.date_range,False
General functions,pandas.bdate_range,False
General functions,pandas.period_range,False
General functions,pandas.timedelta_range,False
General functions,pandas.infer_freq,False
General functions,pandas.interval_range,False
General functions,pandas.eval,False
General functions,pandas.util.hash_array,False
General functions,pandas.util.hash_pandas_object,False
General functions,pandas.test,False
Series,pandas.Series,False
Series,pandas.Series.index,True
Series,pandas.Series.array,True
Series,pandas.Series.values,True
Series,pandas.Series.dtype,True
Series,pandas.Series.shape,True
Series,pandas.Series.nbytes,True
Series,pandas.Series.ndim,True
Series,pandas.Series.size,True
Series,pandas.Series.T,True
Series,pandas.Series.memory_usage,False
Series,pandas.Series.hasnans,True
Series,pandas.Series.empty,True
Series,pandas.Series.dtypes,True
Series,pandas.Series.name,True
Series,pandas.Series.flags,True
Series,pandas.Series.set_flags,False
Series,pandas.Series.astype,False
Series,pandas.Series.convert_dtypes,False
Series,pandas.Series.infer_objects,False
Series,pandas.Series.copy,False
Series,pandas.Series.bool,False
Series,pandas.Series.to_numpy,False
Series,pandas.Series.to_period,False
Series,pandas.Series.to_timestamp,False
Series,pandas.Series.to_list,False
Series,pandas.Series.__array__,False
Series,pandas.Series.get,False
Series,pandas.Series.at,True
Series,pandas.Series.iat,True
Series,pandas.Series.loc,True
Series,pandas.Series.iloc,True
Series,pandas.Series.__iter__,False
Series,pandas.Series.items,False
Series,pandas.Series.iteritems,False
Series,pandas.Series.keys,False
Series,pandas.Series.pop,False
Series,pandas.Series.item,False
Series,pandas.Series.xs,False
Series,pandas.Series.add,False
Series,pandas.Series.sub,False
Series,pandas.Series.mul,False
Series,pandas.Series.div,False
Series,pandas.Series.truediv,False
Series,pandas.Series.floordiv,False
Series,pandas.Series.mod,False
Series,pandas.Series.pow,False
Series,pandas.Series.radd,False
Series,pandas.Series.rsub,False
Series,pandas.Series.rmul,False
Series,pandas.Series.rdiv,False
Series,pandas.Series.rtruediv,False
Series,pandas.Series.rfloordiv,False
Series,pandas.Series.rmod,False
Series,pandas.Series.rpow,False
Series,pandas.Series.combine,False
Series,pandas.Series.combine_first,False
Series,pandas.Series.round,False
Series,pandas.Series.lt,False
Series,pandas.Series.gt,False
Series,pandas.Series.le,False
Series,pandas.Series.ge,False
Series,pandas.Series.ne,False
Series,pandas.Series.eq,False
Series,pandas.Series.product,False
Series,pandas.Series.dot,False
Series,pandas.Series.apply,False
Series,pandas.Series.agg,False
Series,pandas.Series.aggregate,False
Series,pandas.Series.transform,False
Series,pandas.Series.map,False
Series,pandas.Series.groupby,False
Series,pandas.Series.rolling,False
Series,pandas.Series.expanding,False
Series,pandas.Series.ewm,False
Series,pandas.Series.pipe,False
Series,pandas.Series.abs,False
Series,pandas.Series.all,False
Series,pandas.Series.any,False
Series,pandas.Series.autocorr,False
Series,pandas.Series.between,False
Series,pandas.Series.clip,False
Series,pandas.Series.corr,False
Series,pandas.Series.count,False
Series,pandas.Series.cov,False
Series,pandas.Series.cummax,False
Series,pandas.Series.cummin,False
Series,pandas.Series.cumprod,False
Series,pandas.Series.cumsum,False
Series,pandas.Series.describe ,False
Series,pandas.Series.diff,False
Series,pandas.Series.factorize,False
Series,pandas.Series.kurt,False
Series,pandas.Series.mad,False
Series,pandas.Series.max,False
Series,pandas.Series.mean,False
Series,pandas.Series.median,False
Series,pandas.Series.min,False
Series,pandas.Series.mode,False
Series,pandas.Series.nlargest,False
Series,pandas.Series.nsmallest,False
Series,pandas.Series.pct_change,False
Series,pandas.Series.prod,False
Series,pandas.Series.quantile,False
Series,pandas.Series.rank,False
Series,pandas.Series.sem,False
Series,pandas.Series.skew,False
Series,pandas.Series.std,False
Series,pandas.Series.sum,False
Series,pandas.Series.var,False
Series,pandas.Series.kurtosis,False
Series,pandas.Series.unique,False
Series,pandas.Series.nunique,False
Series,pandas.Series.is_unique,True
Series,pandas.Series.is_monotonic,True
Series,pandas.Series.is_monotonic_increasing,True
Series,pandas.Series.is_monotonic_decreasing,True
Series,pandas.Series.value_counts,False
Series,pandas.Series.align,False
Series,pandas.Series.drop,False
Series,pandas.Series.droplevel,False
Series,pandas.Series.drop_duplicates,False
Series,pandas.Series.duplicated,False
Series,pandas.Series.equals,False
Series,pandas.Series.first,False
Series,pandas.Series.head,False
Series,pandas.Series.idxmax,False
Series,pandas.Series.idxmin,False
Series,pandas.Series.isin,False
Series,pandas.Series.last,False
Series,pandas.Series.reindex,False
Series,pandas.Series.reindex_like,False
Series,pandas.Series.rename,False
Series,pandas.Series.rename_axis,False
Series,pandas.Series.reset_index,False
Series,pandas.Series.sample,False
Series,pandas.Series.set_axis,False
Series,pandas.Series.take,False
Series,pandas.Series.tail,False
Series,pandas.Series.truncate,False
Series,pandas.Series.where,False
Series,pandas.Series.mask,False
Series,pandas.Series.add_prefix,False
Series,pandas.Series.add_suffix,False
Series,pandas.Series.filter,False
Series,pandas.Series.backfill,False
Series,pandas.Series.bfill,False
Series,pandas.Series.dropna,False
Series,pandas.Series.ffill,False
Series,pandas.Series.fillna,False
Series,pandas.Series.interpolate,False
Series,pandas.Series.isna,False
Series,pandas.Series.isnull,False
Series,pandas.Series.notna,False
Series,pandas.Series.notnull,False
Series,pandas.Series.pad,False
Series,pandas.Series.replace,False
Series,pandas.Series.argsort,False
Series,pandas.Series.argmin,False
Series,pandas.Series.argmax,False
Series,pandas.Series.reorder_levels,False
Series,pandas.Series.sort_values,False
Series,pandas.Series.sort_index,False
Series,pandas.Series.swaplevel,False
Series,pandas.Series.unstack,False
Series,pandas.Series.explode,False
Series,pandas.Series.searchsorted,False
Series,pandas.Series.ravel,False
Series,pandas.Series.repeat,False
Series,pandas.Series.squeeze,False
Series,pandas.Series.view,False
Series,pandas.Series.append,False
Series,pandas.Series.compare,False
Series,pandas.Series.update,False
Series,pandas.Series.asfreq,False
Series,pandas.Series.asof,False
Series,pandas.Series.shift,False
Series,pandas.Series.first_valid_index,False
Series,pandas.Series.last_valid_index,False
Series,pandas.Series.resample,False
Series,pandas.Series.tz_convert,False
Series,pandas.Series.tz_localize,False
Series,pandas.Series.at_time,True
Series,pandas.Series.between_time,False
Series,pandas.Series.tshift,False
Series,pandas.Series.slice_shift,False
Series,pandas.Series.dt.date,True
Series,pandas.Series.dt.time,True
Series,pandas.Series.dt.timetz,True
Series,pandas.Series.dt.year,True
Series,pandas.Series.dt.month,True
Series,pandas.Series.dt.day,True
Series,pandas.Series.dt.hour,True
Series,pandas.Series.dt.minute,True
Series,pandas.Series.dt.second,True
Series,pandas.Series.dt.microsecond,True
Series,pandas.Series.dt.nanosecond,True
Series,pandas.Series.dt.week,True
Series,pandas.Series.dt.weekofyear,True
Series,pandas.Series.dt.dayofweek,True
Series,pandas.Series.dt.day_of_week,True
Series,pandas.Series.dt.weekday,True
Series,pandas.Series.dt.dayofyear,True
Series,pandas.Series.dt.day_of_year,True
Series,pandas.Series.dt.quarter,True
Series,pandas.Series.dt.is_month_start,True
Series,pandas.Series.dt.is_month_end,True
Series,pandas.Series.dt.is_quarter_start,True
Series,pandas.Series.dt.is_quarter_end,True
Series,pandas.Series.dt.is_year_start,True
Series,pandas.Series.dt.is_year_end,True
Series,pandas.Series.dt.is_leap_year,True
Series,pandas.Series.dt.daysinmonth,True
Series,pandas.Series.dt.days_in_month,True
Series,pandas.Series.dt.tz,True
Series,pandas.Series.dt.freq,True
Series,pandas.Series.dt.to_period,False
Series,pandas.Series.dt.to_pydatetime,False
Series,pandas.Series.dt.tz_localize,True
Series,pandas.Series.dt.tz_convert,True
Series,pandas.Series.dt.normalize,False
Series,pandas.Series.dt.strftime,False
Series,pandas.Series.dt.round,False
Series,pandas.Series.dt.floor,False
Series,pandas.Series.dt.ceil,False
Series,pandas.Series.dt.month_name,True
Series,pandas.Series.dt.day_name,True
Series,pandas.Series.dt.qyear ,True
Series,pandas.Series.dt.start_time,True
Series,pandas.Series.dt.end_time,True
Series,pandas.Series.dt.days,True
Series,pandas.Series.dt.seconds,True
Series,pandas.Series.dt.microseconds,True
Series,pandas.Series.dt.nanoseconds,True
Series,pandas.Series.dt.components,True
Series,pandas.Series.dt.to_pytimedelta,False
Series,pandas.Series.dt.total_seconds,False
Series,pandas.Series.str.capitalize,False
Series,pandas.Series.str.casefold,False
Series,pandas.Series.str.cat,False
Series,pandas.Series.str.center,False
Series,pandas.Series.str.contains,False
Series,pandas.Series.str.count,False
Series,pandas.Series.str.decode,False
Series,pandas.Series.str.encode,False
Series,pandas.Series.str.endswith,False
Series,pandas.Series.str.extract,False
Series,pandas.Series.str.extractall,False
Series,pandas.Series.str.find,False
Series,pandas.Series.str.findall,False
Series,pandas.Series.str.fullmatch,False
Series,pandas.Series.str.get,False
Series,pandas.Series.str.index,False
Series,pandas.Series.str.join,False
Series,pandas.Series.str.len,False
Series,pandas.Series.str.ljust,False
Series,pandas.Series.str.lower,False
Series,pandas.Series.str.lstrip,False
Series,pandas.Series.str.match,False
Series,pandas.Series.str.normalize,False
Series,pandas.Series.str.pad,False
Series,pandas.Series.str.partition,False
Series,pandas.Series.str.removeprefix,False
Series,pandas.Series.str.removesuffix,False
Series,pandas.Series.str.repeat,False
Series,pandas.Series.str.replace,False
Series,pandas.Series.str.rfind,False
Series,pandas.Series.str.rindex,False
Series,pandas.Series.str.rjust,False
Series,pandas.Series.str.rpartition,False
Series,pandas.Series.str.rstrip,False
Series,pandas.Series.str.slice,False
Series,pandas.Series.str.slice_replace,False
Series,pandas.Series.str.split,False
Series,pandas.Series.str.rsplit,False
Series,pandas.Series.str.startswith,False
Series,pandas.Series.str.strip,False
