section,function,is_prop
     The N-dimensional array (            ndarray           )    ,numpy.ndarray,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.flags,True
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.shape,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.strides,True
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.ndim,True
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.data,True
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.size,True
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.itemsize,True
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.nbytes,True
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.base,True
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.dtype,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.T,True
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.real,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.imag,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.flat,True
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.ctypes,True
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.item,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.tolist,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.itemset,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.tostring,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.tobytes,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.tofile,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.dump,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.dumps,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.astype,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.byteswap,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.copy,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.view,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.getfield,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.setflags,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.fill,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.reshape,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.resize,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.transpose,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.swapaxes,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.flatten,True
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.ravel,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.squeeze,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.take,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.put,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.repeat,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.choose,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.sort,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.argsort,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.partition,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.argpartition,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.searchsorted,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.nonzero,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.compress,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.diagonal,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.max,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.argmax,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.min,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.argmin,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.ptp,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.clip,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.conj,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.round,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.trace,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.sum,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.cumsum,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.mean,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.var,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.std,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.prod,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.cumprod,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.all,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.any,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.__lt__,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.__le__,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.__gt__,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.__ge__,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.__eq__,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.__ne__,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.__bool__,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.__neg__,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.__pos__,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.__abs__,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.__invert__,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.__add__,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.__sub__,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.__mul__,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.__truediv__,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.__floordiv__,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.__mod__,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.__divmod__,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.__pow__,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.__lshift__,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.__rshift__,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.__and__,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.__or__,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.__xor__,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.__iadd__,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.__isub__,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.__imul__,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.__itruediv__,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.__ifloordiv__,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.__imod__,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.__ipow__,False
     The N-dimensional array (            ndarray           )    ,numpy.ndarray.__ilshift__,False
